Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
Alosetron Hydrochloride,ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE,Mixed,ar,less,Tachyarrhythmias/increased blood pressure ,mild
Deferiprone,DEFERIPRONE,DEFERIPRONE,Mixed,ar,less,cardiac failure/atrial fibrillation,severe
Sodium Iodide I-131,SODIUM IODIDE I-131,SODIUM IODIDE I-131,Mixed,ar,less,chest pain/tachycardia,mild
SODIUM IODIDE I 123,SODIUM IODIDE I 123,SODIUM IODIDE I-123,NA,no,no,,
Demeclocycline Hydrochloride,DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE,NA,sp,ambiguous,pericarditis(Hypersensitivity reactions),severe
Cefadroxil,CEFADROXIL,CEFADROXIL,NA,no,no,,
Nefazodone Hydrochloride,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,Heart Damage,wp,less,decrease in blood pressure,mild
spironolactone,SPIRONOLACTONE,SPIRONOLACTONE,Heart Damage,wp,less,hypotension,mild
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,Mixed,wp,most,Myocardial infarction/sinus tachycardia,severe
Trimipramine Maleate,TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,Mixed,ar,less, myocardial infarction/arrhythmias,severe
Niacor,NIACIN,niacin,Mixed,ar,less,Atrial fibrillation/hypotension ,mild
toremifene citrate,TOREMIFENE CITRATE,TOREMIFENE CITRATE,Arrhythmia,bw,most,QT PROLONGATION,moderate
METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,Mixed,bw,most,QT interval prolongation/Hypotension,moderate
Tolvaptan,TOLVAPTAN,TOLVAPTAN,Mixed,ar,less,Intracardiac thrombus/ventricular fibrillation,severe
Carisoprodol,CARISOPRODOL,CARISOPRODOL,Mixed,ar,less,Tachycardia/postural hypotension,mild
ziprasidone hydrochloride,ZIPRASIDONE HCL,ZIPRASIDONE HYDROCHLORIDE,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Buspirone Hydrochloride,BUSPIRONE HYDROCHLORIDE,BUSPIRONE HYDROCHLORIDE,Mixed,ar,less,tachycardia/cardiomyopathy,mild
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/arrhythmias,severe
Balsalazide Disodium,BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM,Heart Damage,ar,less,myocarditis,severe
Rifabutin,RIFABUTIN,RIFABUTIN,Arrhythmia,ar,less,non-specific T wave changes on electrocardiogram,mild
Trandolapril,TRANDOLAPRIL,TRANDOLAPRIL,Heart Damage,wp,less,hypotension,mild
Metaxalone,METAXALONE,METAXALONE,NA,no,no,,
APREPITANT,APREPITANT,APREPITANT,Arrhythmia,ar,less,palpitations,mild
CINACALCET,CINACALCET,CINACALCET HYDROCHLORIDE,Arrhythmia,wp,most,QT prolongation,moderate
Triazolam,TRIAZOLAM,TRIAZOLAM,NA,no,no,,
Pimozide,PIMOZIDE,PIMOZIDE,Arrhythmia,ar,less,Electrocardiographic changes,moderate
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,Heart Damage,wp,most,congestive heart failure,severe
TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,Mixed,ar,less,supraventricular tachycardia/chest pain,moderate
Molindone Hydrochloride,MOLINDONE HYDROCHLORIDE,MOLINDONE HYDROCHLORIDE,Mixed,ar,less, T wave changes /hypotension,mild
Clomiphene Citrate,CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,Mixed,ar,less,Arrhythmia/ chest pain,severe
Doxycycline Hyclate,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,NA,sp,ambiguous,?? Intracranial hypertension,
DIETHYLPROPION HYDROCHLORIDE ER,DIETHYLPROPION HYDROCHLORIDE ER,DIETHYLPROPION HYDROCHLORIDE,Heart Damage,wp,most,Valvular heart disease,severe
Perindopril Erbumine,PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,Heart Damage,wp,less,hypotension,mild
Clemastine Fumarate,CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,Mixed,ar,less,tachycardia/Hypotension,mild
SULINDAC,SULINDAC,SULINDAC,Heart Damage,bw,most,myocardial infarction ,severe
Dexmethylphenidate Hydrochloride,DEXMETHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE HYDROCHLORIDE,Mixed,wp,most,myocardial infarction/Heart Rate Increases,severe
Penicillin V Potassium,PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM,NA,sp,ambiguous,not be relied upon in patients with cardiospasm ,
Metronidazole,METRONIDAZOLE,METRONIDAZOLE,NA,sp,ambiguous,QT prolongation with drug interactions,moderate
Piroxicam,PIROXICAM,PIROXICAM,Heart Damage,bw,most, myocardial infarction,severe
Primidone,PRIMIDONE,PRIMIDONE,NA,no,no,,
Methocarbamol,METHOCARBAMOL,METHOCARBAMOL,Mixed,ar,less,Bradycardia/Hypotension,mild
Tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,NA,sp,ambiguous,postural hypotension,mild
Naratriptan,NARATRIPTAN,NARATRIPTAN HYDROCHLORIDE,Mixed,wp,most, acute myocardial infarction/ventricular tachycardia,severe
Febuxostat,FEBUXOSTAT,FEBUXOSTAT,NA,sp,ambiguous,CV death patients with a history of CV disease,severe
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,Mixed,ar,less,arrhythmia/Hypotension,mild
Miglitol,MIGLITOL,MIGLITOL,NA,no,no,,
SULFADIAZINE,SULFADIAZINE,SULFADIAZINE,NA,sp,ambiguous,allergic myocarditis(Allergic Reactions),severe
Lansoprazole,LANSOPRAZOLE,LANSOPRAZOLE,Mixed,ar,less,arrhythmia/myocardial infarction,severe
CARVEDILOL,CARVEDILOL,CARVEDILOL,Mixed,wp,most,worsening heart failure/Bradycardia,severe
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,NA,sp,ambiguous,"cardiac valvular disease combination of phentermine with fenfluramine or
dexfenfluramine",severe
Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,Heart Damage,ar,less,Hypotension,mild
Theophylline (Anhydrous),THEOPHYLLINE,THEOPHYLLINE ANHYDROUS,Arrhythmia,ar,less,cardiac arrhythmias,mild
Topiramate,TOPIRAMATE,TOPIRAMATE,NA,sp,ambiguous,cardiac arrhythmias,mild
Chenodal,CHENODIOL,CHENODIOL,NA,no,no,,
Misoprostol,MISOPROSTOL,MISOPROSTOL,Mixed,ar,less,arrhythmia/myocardial infarction (some fatal),severe
Citalopram,CITALOPRAM,CITALOPRAM,Mixed,ar,less,bradycardia/angina pectoris,moderate
etravirine,ETRAVIRINE,ETRAVIRINE,Mixed,ar,less,myocardial infarction/atrial fibrillation,severe
Clopidogrel,CLOPIDOGREL,CLOPIDOGREL BISULFATE,Heart Damage,ar,less,hypotension,mild
Neomycin Sulfate,NEOMYCIN SULFATE,NEOMYCIN SULFATE,NA,no,no,,
Levorphanol Tartrate,LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,Heart Damage,wp,less,hypotension ,mild
Tinidazole,TINIDAZOLE,TINIDAZOLE,Arrhythmia,ar,less,palpitations,mild
TOLMETIN SODIUM,TOLMETIN SODIUM,TOLMETIN SODIUM,Heart Damage,bw,most," myocardial 
infarction (MI) ",severe
Terbinafine,TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,NA,sp,ambiguous,hypersensitivity reactions:myocarditis,
Nortriptyline Hydrochloride,NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,Arrhythmia,wp,most,Brugada syndrom,severe
Minocycline hydrochloride,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,NA,sp,ambiguous,"myocarditis, pericarditis(Hypersensitivity Reactions)",severe
molnupiravir,MOLNUPIRAVIR,MOLNUPIRAVIR,NA,no,no,,
Seconal Sodium,SECOBARBITAL SODIUM,secobarbital sodium,Mixed,ar,less,Bradycardia/hypotension,mild
ISMOTIC,ISOSORBIDE,isosorbide,NA,no,no,,
SOTALOL,SOTALOL,sotalol,Mixed,wp,most,torsade de pointes/Conges tive Heart Failure,moderate
Maxaquin,LOMEFLOXACIN HYDROCHLORIDE,lomefloxacin hydrochloride,Arrhythmia,wp,most,torsade de pointes,moderate
TOLAZAMIDE,TOLAZAMIDE,tolazamide,NA,sp,ambiguous,similarities chemical:cardiovascular mortality,
Terramycin,OXYTETRACYCLINE HYDROCHLORIDE,Oxytetracycline Hydrochloride,NA,sp,ambiguous,pericarditis(Hypersensitivity reactions),severe
Renese,POLYTHIAZIDE,polythiazide,Heart Damage,ar,less,hypotension ,mild
PERMAX,PERGOLIDE,pergolide,Heart Damage,bw,most,valve replacement,severe
VITRAKVI,LAROTRECTINIB,LAROTRECTINIB,NA,CLINICAL PHARMACOLOGY,no, does not prolong QTc intervals,
SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,SODIUM POLYSTYRENE SULFONATE,Arrhythmia,wp,most, lengthened Q-T interval,moderate
Relistor,METHYLNALTREXONE BROMIDE,METHYLNALTREXONE BROMIDE,Mixed,ar,less,cardiac arrest/myocardial infarctions,severe
Eszopiclone,ESZOPICLONE,ESZOPICLONE,Heart Damage,ar,less,hypertension,mild
VASOPRESSIN,VASOPRESSIN,VASOPRESSIN,Mixed,wp,less,decrease in cardiac index ,mild
Naloxone Hydrochloride,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,Mixed,ar,less,cardiac arrest or failure,severe
PHYTONADIONE,PHYTONADIONE,PHYTONADIONE,Mixed,ar,less," Tachycardia, hypotension",severe
Dehydrated Alcohol,ALCOHOL,ALCOHOL,Mixed,wp,most,heart failure/Ventricular Arrhythmia,severe
Compro,PROCHLORPERAZINE,PROCHLORPERAZINE,Arrhythmia,ar,less,hypotension / cardiac arrest,severe
Cetrotide,CETRORELIX ACETATE,CETRORELIX ACETATE,NA,sp,ambiguous,hypersensitivity reactions:hypotension,mild
LEQVIO,INCLISIRAN,INCLISIRAN SODIUM,NA,CLINICAL PHARMACOLOGY,no,does not prolong the QT,
Empaveli,PEGCETACOPLAN,Pegcetacoplan,Heart Damage,ar,less,hypertension,mild
FIRMAGON,DEGARELIX,DEGARELIX,Arrhythmia,wp,most, prolong the QT interval,moderate
Mozobil,PLERIXAFOR,PLERIXAFOR,NA,sp,ambiguous,hypersensitivity reactionshypotension,mild
OXLUMO,LUMASIRAN,LUMASIRAN,NA,no,no,,
Vantas,HISTRELIN ACETATE,HISTRELIN ACETATE,Mixed,wp,most,sudden cardiac death/prolong QT/QTc Interval,severe
Vyleesi,BREMELANOTIDE,bremelanotide acetate,Mixed,wp,less,Increase in Blood Pressure/ Reduction in Heart Rate,mild
Imcivree,SETMELANOTIDE,SETMELANOTIDE,NA,no,no,,
Lanreotide Acetate,LANREOTIDE ACETATE,LANREOTIDE ACETATE,Mixed,wp,less,sinus bradycardia/hypertension,mild
Tymlos,ABALOPARATIDE,ABALOPARATIDE,Mixed,wp,less,hypotension/tachycardia,mild
Zegalogue,DASIGLUCAGON,DASIGLUCAGON,Mixed,ar,less,bradycardia/hypertension,mild
Byetta,EXENATIDE,exenatide,NA,no,no,,
Tegsedi,INOTERSEN,INOTERSEN SODIUM,Arrhythmia,ar,less,Arrhythmia,mild
Saxenda,LIRAGLUTIDE,LIRAGLUTIDE,Arrhythmia,wp,less,Heart Rate Increase,mild
XYOSTED,TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,Heart Damage,bw,most,cardiovascular death,severe
VOXZOGO 0.4mg; VOXZOGO 0.56mg; VOXZOGO 1.2mg,VOSORITIDE,VOSORITIDE,Heart Damage,wp,less,decreases in blood pressure,mild
SymlinPen,PRAMLINTIDE ACETATE,pramlintide acetate,NA,no,no,,
ZOLADEX,GOSERELIN,goserelin acetate,Mixed,wp,most,sudden cardiac death/prolong QT/QTc Interval,severe
SYNRIBO,OMACETAXINE MEPESUCCINATE,OMACETAXINE MEPESUCCINATE,Mixed,ar,less,angina pectoris/arrhythmia,severe
GIVLAARI,GIVOSIRAN SODIUM,givosiran sodium,NA,CLINICAL PHARMACOLOGY,no,No large mean increase in QTc ,
Copaxone,GLATIRAMER ACETATE,GLATIRAMER ACETATE,Mixed,ar,less,Tachycardia/Hypertension,mild
WEGOVY,SEMAGLUTIDE,SEMAGLUTIDE,Arrhythmia,wp,less,Heart Rate Increase,mild
Nexplanon,ETONOGESTREL,etonogestrel,Heart Damage,wp,most,myocardial infarctions,severe
FUZEON,ENFUVIRTIDE,Enfuvirtide,Heart Damage,ar,less,unstable angina pectoris,moderate
Kynamro,MIPOMERSEN SODIUM,MIPOMERSEN SODIUM,NA,no,no,,
Fragmin,DALTEPARIN SODIUM,DALTEPARIN SODIUM,NA,no,no,,
Forteo,TERIPARATIDE,Teriparatide,Heart Damage,wp,less,hypotension,mild
KYBELLA,DEOXYCHOLIC ACID,DEOXYCHOLIC ACID,Heart Damage,ar,less,Hypertension,mild
Fondaparinux Sodium,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,NA,no,no,,
Terbutaline Sulfate,TERBUTALINE SULFATE,terbutaline sulfate,Mixed,bw,most,myocardial ischemia/cardiac arrhythmias,severe
Fyremadel,GANIRELIX ACETATE,ganirelix acetate,NA,no,no,,
MEPIVACAINE HYDROCHLORIDE,MEPIVACAINE HYDROCHLORIDE,Mepivacaine Hydrochloride,NA,sp,ambiguous,"used with extreme caution for patients with heart block,",
Isosulfan Blue,ISOSULFAN BLUE,ISOSULFAN BLUE,NA,no,no,,
ICATIBANT,ICATIBANT,ICATIBANT ACETATE,NA,no,no,,
Innohep,TINZAPARIN SODIUM,tinzaparin sodium,Heart Damage,ar,less,"hypotension, hypertension",mild
KYNMOBI,APOMORPHINE HYDROCHLORIDE,apomorphine hydrochloride,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Dsuvia,SUFENTANIL,SUFENTANIL,Mixed,wp,less,hypotension/bradycardia,mild
nitroglycerin,NITROGLYCERIN,NITROGLYCERIN,Heart Damage,wp,most,angina pectoris,moderate
Asenapine,ASENAPINE MALEATE,ASENAPINE MALEATE,Mixed,wp,most,QT Prolongation/Hypotension,moderate
Buprenorphine,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Citanest Plain,PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE,Mixed,ar,less,bradycardia/hypotension,mild
,Etoricoxib,,Heart Damage,Withdraw,most,thrombotic events,
,Rofecoxib,,Heart Damage,Withdraw,most,myocardial infarction,
,Benfluorex,,Heart Damage,Withdraw,most,valvular heart disease,
,Chlorphentermine,,Heart Damage,Withdraw,most,pulmonary heart disease,
,Dexfenfluramine,,Heart Damage,Withdraw,most,valvular heart disease,
,Fenfluramine,,Heart Damage,Withdraw,most,valvular heart disease,
,Levomethadyl acetate,,Arrhythmia,Withdraw,most,"QT prolongation, TdP",
,Phentermine,,Heart Damage,Withdraw,most,valvular heart disease,
,Propoxyphene,,Arrhythmia,Withdraw,most,"QT prolongation, TdP",
,Sertindole,,Arrhythmia,Withdraw,most,"QT prolongation, TdP, sudden cardiac death",
,Sibutramine,,Heart Damage,Withdraw,most,Myocardial infarction,
,Cisapride,,Arrhythmia,Withdraw,most,"ventricular arrhythmia, QT prolongation, TdP, cardiac arrest",
,Tegaserod,,Heart Damage,Withdraw,most,ischemia,
,Terodiline,,Arrhythmia,Withdraw,most,"ventricular tachycardia, cardiac death",
,Astemizole,,Arrhythmia,Withdraw,most,"long QT syndrome, TdP",
,Terfenadine,,Arrhythmia,Withdraw,most,"QT prolongation, TdP",
,Grepafloxacin,,Arrhythmia,Withdraw,most,QT prolongation,
,Sparfloxacin,,Arrhythmia,Withdraw,most,QT prolongation,
,Buflomedil,,Arrhythmia,Withdraw,most,"QT prolongation, cardiac arrest",
,Dofetilide,,Arrhythmia,Withdraw,most,"QT prolongation, TdP",
,Encainide,,Arrhythmia,Withdraw,most,"QT prolongation, TdP",
,Lidoflazine,,Arrhythmia,Withdraw,most,QT prolongation,
,Mibefradil,,Arrhythmia,Withdraw,most,QT prolongation,
,Orciprenaline,,Arrhythmia,Withdraw,most,"tachycardia, palpitations",
,Prenylamine,,Arrhythmia,Withdraw,most,"QT prolongation, sudden cardiac death, ventricular tachycardia, TdP",
,Probucol,,Arrhythmia,Withdraw,most,"QT prolongation, arrhythmias",
,Clobutinol,,Arrhythmia,Withdraw,most,QT prolongation,
