Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
moxidectin,moxidectin,moxidectin,less,moxidectin,CO\N=C1/C[C@]2(C[C@@H]3C[C@@H](C\C=C(C)\C[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@@H]([C@H]1C)C(\C)=C\C(C)C
desvenlafaxine,desvenlafaxine,desvenlafaxine,less,desvenlafaxine,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
nuplazid,pimavanserin tartrate,pimavanserin tartrate,most,pimavanserin tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1.CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1
venclexta,venetoclax,venetoclax,no,venetoclax,CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CN=C4NC=CC4=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1
slynd,drospirenone,drospirenone,no,drospirenone,[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21
linzess,linaclotide,linaclotide,ambiguous,linaclotide,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CSSC[C@H](NC(=O)CNC1=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCC(O)=O)NC3=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N2
myrbetriq,mirabegron,mirabegron,less,mirabegron,[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])C2=C([H])SC(=N2)N([H])[H])C([H])=C1[H]
razadyne,galantamine hydrobromide,galantamine hydrobromide,most,galantamine hydrobromide,Br.[H][C@]12C[C@@H](O)C=C3CCN(C)CC4=C([C@@H]13)C(O2)=C(OC)C=C4
daypro,oxaprozin,oxaprozin,most,oxaprozin,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
stivarga,regorafenib,regorafenib monohydrate,most,regorafenib monohydrate,O.CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1
accrufer,ferric maltol,ferric maltol,no,ferric maltol,[Fe+3].[O-]C1=COC=CC1=O.CC1=C([O-])C(=O)C=CO1.CC1=C([O-])C(=O)C=CO1
lampit,nifurtimox,nifurtimox,ambiguous,nifurtimox,CC1CS(=O)(=O)CCN1N=CC1=CC=C(O1)[N+]([O-])=O
pexeva,paroxetine mesylate,paroxetine mesylate,less,paroxetine mesylate,CS(O)(=O)=O.FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1
gemtesa,vibegron,vibegron,no,vibegron,[H][C@@]1(CC[C@@H](CC2=CC=C(NC(=O)[C@@H]3CCC4=NC=CC(=O)N34)C=C2)N1)[C@H](O)C1=CC=CC=C1
zypitamag,pitavastatin magnesium,pitavastatin,no,pitavastatin,O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=CC=CC=C2N=C1C1CC1)CC(O)=O
tybost,cobicistat,cobicistat,no,cobicistat,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1
verquvo,vericiguat,vericiguat,less,vericiguat,COC(=O)NC1=C(N)N=C(N=C1N)C1=NN(CC2=CC=CC=C2F)C2=NC=C(F)C=C12
rozlytrek,entrectinib,entrectinib,most,entrectinib,CN1CCN(CC1)C1=CC(NC2CCOCC2)=C(C=C1)C(=O)NC1=NNC2=C1C=C(CC1=CC(F)=CC(F)=C1)C=C2
xifaxan,rifaximin,rifaximin,no,rifaximin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C2N=C2C=C(C)C=CN12
pizensy,lactitol,lactitol,less,lactitol,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)CO
avandia,rosiglitazone maleate,rosiglitazone maleate,most,rosiglitazone maleate,OC(=O)\C=C/C(O)=O.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
emflaza,deflazacort,deflazacort,less,deflazacort,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O
ketek,telithromycin,telithromycin,most,telithromycin,[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@]3([H])O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CN=CC=C1
daurismo,glasdegib,glasdegib,most,glasdegib,[H][C@@]1(C[C@@H](CCN1C)NC(=O)NC1=CC=C(C=C1)C#N)C1=NC2=CC=CC=C2N1
orfadin,nitisinone,nitisinone,no,nitisinone,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O
zykadia,ceritinib,ceritinib,most,ceritinib,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1
vumerity,diroximel fumarate,diroximel fumarate,no,diroximel fumarate,COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O
multaq,dronedarone,dronedarone,most,dronedarone,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=CC=C(NS(C)(=O)=O)C=C12
quazepam,quazepam,quazepam,no,quazepam,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
northera,droxidopa,droxidopa,most,droxidopa,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
boniva,ibandronate sodium,ibandronate sodium,less,ibandronate sodium,[Na+].CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)([O-])=O
livalo,pitavastatin calcium,pitavastatin calcium,no,pitavastatin calcium,[Ca++].O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=C(C=CC=C2)N=C1C1CC1)CC([O-])=O.O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=C(C=CC=C2)N=C1C1CC1)CC([O-])=O
olumiant,baricitinib,baricitinib,most,baricitinib,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
zokinvy,lonafarnib,lonafarnib,less,lonafarnib,NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@H]2C3=C(CCC4=C2C(Br)=CC(Cl)=C4)C=C(Br)C=N3)CC1
zontivity,vorapaxar,vorapaxar sulfate,no,vorapaxar sulfate,OS(O)(=O)=O.[H][C@@]12C[C@]3([H])C[C@@H](CC[C@@]3([H])[C@H](\C=C\C3=CC=C(C=N3)C3=CC(F)=CC=C3)[C@]1([H])[C@@H](C)OC2=O)NC(=O)OCC
rydapt,rydapt,midostaurin,less,midostaurin,[H][C@]12O[C@](C)(N3C4=CC=CC=C4C4=C5CN=C(O)C5=C5C6=CC=CC=C6N1C5=C34)[C@](C)(OC)[C@]2([H])N(C)C(=O)C1=CC=CC=C1
calquence,acalabrutinib,acalabrutinib,less,acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1
citalopram,citalopram,citalopram hydrobromide,most,citalopram hydrobromide,Br.CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
alunbrig,brigatinib,brigatinib,less,brigatinib,COC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)P(C)(C)=O)=N2)C=CC(=C1)N1CCC(CC1)N1CCN(C)CC1
farydak,panobinostat,panobinostat lactate,most,panobinostat lactate,CC(O)C(O)=O.CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1
zejula,niraparib,niraparib,less,niraparib,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1
jardiance,empagliflozin,empagliflozin,no,empagliflozin,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C(Cl)C=C1
fycompa,perampanel,perampanel,ambiguous,perampanel,O=C1N(C=C(C=C1C1=CC=CC=C1C#N)C1=CC=CC=N1)C1=CC=CC=C1
brilinta,ticagrelor,ticagrelor,most,ticagrelor,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=N1
doptelet,avatrombopag maleate,avatrombopag maleate,no,avatrombopag maleate,[H]\C(=C(/[H])C(O)=O)C(O)=O.OC(=O)C1CCN(CC1)C1=C(Cl)C=C(C=N1)C(=O)NC1=NC(C2=CC(Cl)=CS2)=C(S1)N1CCN(CC1)C1CCCCC1
ibrance,palbociclib,palbociclib,no,palbociclib,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O
gilenya,fingolimod hcl,fingolimod hydrochloride,most,fingolimod hydrochloride,Cl.CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
cholbam,cholic acid,cholic acid,no,cholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O
amiloride hydrocloride,amiloride hydrocloride,amiloride hydrochloride,less,amiloride hydrochloride,Cl.NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
vemlidy,tenofovir alafenamide,tenofovir alafenamide fumarate,no,tenofovir alafenamide fumarate,OC(=O)\C=C\C(O)=O.CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)CN1C=NC2=C(N)N=CN=C12)OC1=CC=CC=C1.CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)CN1C=NC2=C(N)N=CN=C12)OC1=CC=CC=C1
tabloid,thioguanine,thioguanine,no,thioguanine,NC1=NC2=C(NC=N2)C(=S)N1
azithromycin,azithromycin,azithromycin,less,azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
vraylar,cariprazine,cariprazine,less,cariprazine,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1
tasigna,nilotinib,nilotinib,most,nilotinib,CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)=C1)C(F)(F)F
revlimid,lenalidomide,lenalidomide,most,lenalidomide,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
toviaz,fesoterodine fumarate,fesoterodine fumarate,less,fesoterodine fumarate,OC(=O)\C=C\C(O)=O.CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C
lenvima,lenvatinib,lenvatinib,most,lenvatinib,COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O
purinethol,mercaptopurine,mercaptopurine,no,mercaptopurine,S=C1NC=NC2=C1N=CN2
aplenzin,bupropion hydrobromide,bupropion hydrobromide,less,bupropion hydrobromide,Br.CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
chemet,succimer,succimer,less,succimer,OC(=O)[C@@H](S)[C@@H](S)C(O)=O
aemcolo,rifamycin,rifamycin,no,rifamycin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C=C2O
cometriq,cabozantinib,cabozantinib s-malate,less,cabozantinib s-malate,O[C@@H](CC(O)=O)C(O)=O.COC1=C(OC)C=C2C(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=CC=NC2=C1
stendra,avanafil,avanafil,less,avanafil,COC1=C(Cl)C=C(CNC2=NC(=NC=C2C(=O)NCC2=NC=CC=N2)N2CCC[C@H]2CO)C=C1
cerdelga,eliglustat,eliglustat,most,eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC2=C(OCCO2)C=C1
krintafel,tafenoquine succinate,tafenoquine succinate,no,tafenoquine succinate,OC(=O)CCC(O)=O.COC1=CC(C)=C2C(OC3=CC(=CC=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1
kerendia,finerenone,finerenone,no,finerenone,CCOC1=NC=C(C)C2=C1[C@H](C1=C(OC)C=C(C=C1)C#N)C(C(N)=O)=C(C)N2
esbriet,pirfenidone,pirfenidone,no,pirfenidone,CC1=CN(C(=O)C=C1)C1=CC=CC=C1
lokelma,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,no,sodium zirconium cyclosilicate,[Na+].[Na+].[Zr+4].[O-][Si]1([O-])O[Si]([O-])([O-])O[Si]([O-])([O-])O1
pomalyst,pomalidomide,pomalidomide,most,pomalidomide,NC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1
galafold,migalastat hydrochloride,migalastat hydrochloride,no,migalastat hydrochloride,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O
dyanavel xr; dyanavel xr,amphetamine,amphetamine,most,amphetamine,CC(N)CC1=CC=CC=C1
tasmar,tolcapone,tolcapone,less,tolcapone,CC1=CC=C(C=C1)C(=O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O
retevmo,selpercatinib,selpercatinib,most,selpercatinib,COC1=NC=C(CN2C3CC2CN(C3)C2=NC=C(C=C2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=C1
xtampza er,oxycodone,oxycodone,less,oxycodone,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O
inlyta,axitinib,axitinib,most,axitinib,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=NC=CC=C3)=C2)C=CC=C1
thiola ec,tiopronin,tiopronin,less,tiopronin,CC(S)C(=O)NCC(O)=O
mekinist,trametinib,trametinib dimethyl sulfoxide,most,trametinib dimethyl sulfoxide,CS(C)=O.CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=C(F)C=C(I)C=C1)C1=CC=CC(NC(C)=O)=C1
fibricor,fenofibric acid,fenofibric acid,no,fenofibric acid,CC(C)(OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1)C(O)=O
kisqali,ribociclib,ribociclib succinate,most,ribociclib succinate,OC(=O)CCC(O)=O.CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(C=N3)N3CCNCC3)N=C2N1C1CCCC1
gocovri,amantadine,amantadine,less,amantadine,NC12CC3CC(CC(C3)C1)C2
aptiom,eslicarbazepine acetate,eslicarbazepine acetate,ambiguous,eslicarbazepine acetate,CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12
tafinlar,dabrafenib,dabrafenib mesylate,most,dabrafenib mesylate,CS(O)(=O)=O.CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1
osphena,ospemifene,ospemifene,most,ospemifene,OCCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1
enablex,darifenacin,darifenacin,less,darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
trimethoprim,trimethoprim,trimethoprim,no,trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
brukinsa,zanubrutinib,zanubrutinib,less,zanubrutinib,NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1
ubrelvy,ubrogepant,ubrogepant,no,ubrogepant,C[C@@H]1[C@@H](C[C@H](NC(=O)C2=CC3=C(C[C@]4(C3)C(=O)NC3=C4C=CC=N3)N=C2)C(=O)N1CC(F)(F)F)C1=CC=CC=C1
nexavar,sorafenib,sorafenib,most,sorafenib,CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1
qinlock,ripretinib,ripretinib,most,ripretinib,CCN1C(=O)C(=CC2=CN=C(NC)C=C12)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1
primsol,trimethoprim hydrochloride,trimethoprim hydrochloride,no,trimethoprim hydrochloride,Cl.COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
nerlynx,neratinib,neratinib maleate,no,neratinib maleate,[H]\C(=C(/[H])C(O)=O)C(O)=O.CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC(Cl)=C(OCC4=CC=CC=N4)C=C3)=C(C=NC2=C1)C#N
xarelto; xarelto,rivaroxaban,rivaroxaban,no,rivaroxaban,ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O
afinitor; afinitor disperz,everolimus,everolimus,less,everolimus,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](OCCO)[C@@H](C1)OC
viramune,nevirapine,nevirapine,no,nevirapine,CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1
viracept,nelfinavir mesylate,nelfinavir mesylate,less,nelfinavir mesylate,O.CS(O)(=O)=O.CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
iclusig,ponatinib hydrochloride,ponatinib hydrochloride,most,ponatinib hydrochloride,Cl.CN1CCN(CC2=C(C=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2)C(F)(F)F)CC1
xenical,orlistat,orlistat,no,orlistat,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
hycamtin,topotecan,topotecan hydrochloride,no,topotecan hydrochloride,Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O
xtandi,enzalutamide,enzalutamide,most,enzalutamide,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC(=C(C=C1)C#N)C(F)(F)F
sunosi,solriamfetol,solriamfetol,less,solriamfetol,N[C@@H](COC(N)=O)CC1=CC=CC=C1
pifeltro,doravirine,doravirine,no,doravirine,CN1C(=O)NN=C1CN1C=CC(=C(OC2=CC(Cl)=CC(=C2)C#N)C1=O)C(F)(F)F
plaquenil,hydroxychloroquine sulfate,hydroxychloroquine sulfate,most,hydroxychloroquine sulfate,OS(O)(=O)=O.CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
firdapse,amifampridine phosphate,amifampridine phosphate,less,amifampridine phosphate,OP(O)(O)=O.NC1=C(N)C=NC=C1
xermelo,telotristat ethyl,telotristat ethyl,no,telotristat ethyl,CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C1=CC(O[C@H](C2=CC=C(Cl)C=C2N2C=CC(C)=N2)C(F)(F)F)=NC(N)=N1
balversa,erdafitinib,erdafitinib,less,erdafitinib,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1
orladeyo,berotralstat hydrochloride,berotralstat hydrochloride,less,berotralstat hydrochloride,Cl.Cl.NCC1=CC(=CC=C1)N1N=C(C=C1C(=O)NC1=CC(=CC=C1F)[C@H](NCC1CC1)C1=CC=CC(=C1)C#N)C(F)(F)F
velphoro,sucroferric oxyhydroxide,ferric oxyhydroxide,no,ferric oxyhydroxide,[OH-].[O--].[Fe+3]
macrilen,macimorelin acetate,macimorelin,most,macimorelin,CC(C)(N)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@H](CC1=CNC2=CC=CC=C12)NC=O
bosulif,bosutinib monohydrate,bosutinib monohydrate,most,bosutinib monohydrate,O.COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1
rezurock,belumosudil,belumosudil,less,belumosudil,CC(C)NC(=O)COC1=CC=CC(=C1)C1=NC2=CC=CC=C2C(NC2=CC3=C(NN=C3)C=C2)=N1
jakafi,ruxolitinib,ruxolitinib,most,ruxolitinib,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1
vermox,mebendazole,mebendazole,no,mebendazole,COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1
parnate,tranylcypromine sulfate,tranylcypromine sulfate,less,tranylcypromine sulfate,OS(O)(=O)=O.[H][C@]1(N)C[C@]1([H])C1=CC=CC=C1.[H][C@@]1(N)C[C@@]1([H])C1=CC=CC=C1
welireg,belzutifan,belzutifan,less,belzutifan,CS(=O)(=O)C1=CC=C(OC2=CC(F)=CC(=C2)C#N)C2=C1[C@H](O)[C@H](F)[C@@H]2F
trulance immediate release,plecanatide,plecanatide,no,plecanatide,CC(C)C[C@H](NC(=O)[C@@H]1CSSC[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC2=O)C(C)C)C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](N)CC(N)=O)C(O)=O
xyrem,sodium oxybate,sodium oxybate,no,sodium oxybate,OCCCC(O)=O
qulipta,atogepant,atogepant,no,atogepant,C[C@@H]1[C@@H](C[C@H](NC(=O)C2=CN=C3C[C@]4(CC3=C2)C(=O)NC2=C4C=CC=N2)C(=O)N1CC(F)(F)F)C1=C(F)C(F)=CC=C1F
gleostine,lomustine,lomustine,no,lomustine,ClCCN(N=O)C(=O)NC1CCCCC1
incruse ellipta,umeclidinium,umeclidinium bromide,less,umeclidinium bromide,[Br-].OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2
cefditoren pivoxil,cefditoren pivoxil,cefditoren pivoxil,no,cefditoren pivoxil,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/C3=C(C)N=CS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C1=CSC(N)=N1
lysodren,mitotane,mitotane,no,mitotane,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1
diuril,chlorothiazide,chlorothiazide,less,chlorothiazide,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O
crixivan,indinavir sulfate,indinavir sulfate,less,indinavir sulfate,OS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2
evrysdi,risdiplam,risdiplam,no,risdiplam,CC1=CN2N=C(C=C(C)C2=N1)C1=CC(=O)N2C=C(C=CC2=N1)N1CCNC2(CC2)C1
reyvow,lasmiditan,lasmiditan,less,lasmiditan,CN1CCC(CC1)C(=O)C1=NC(NC(=O)C2=C(F)C=C(F)C=C2F)=CC=C1
horizant,gabapentin enacarbil,gabapentin enacarbil,no,gabapentin enacarbil,CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1
emcyt,estramustine phosphate sodium,estramustine phosphate sodium,most,estramustine phosphate sodium,[Na+].[Na+].C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OC(=O)N(CCCl)CCCl)=C4)[C@@H]1CC[C@@H]2OP([O-])([O-])=O
caplyta,lumateperone,lumateperone,less,lumateperone,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C(=C)C1=C(C)N(C)CCN21
koselugo,selumetinib,selumetinib,most,selumetinib,CN1C=NC2=C1C=C(C(=O)NOCCO)C(NC1=CC=C(Br)C=C1Cl)=C2F
tazverik,tazemetostat,tazemetostat hydrobromide,no,tazemetostat hydrobromide,Br.CCN(C1CCOCC1)C1=C(C)C(=CC(=C1)C1=CC=C(CN2CCOCC2)C=C1)C(=O)NCC1=C(C)C=C(C)NC1=O
mulpleta,lusutrombopag,lusutrombopag,no,lusutrombopag,CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1
vascepa,icosapent ethyl,icosapent ethyl,less,icosapent ethyl,CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
cotellic,cobimetinib,cobimetinib fumarate,most,cobimetinib fumarate,[H]\C(=C(\[H])C(O)=O)C(O)=O.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1
